ACAO;DATA;ABERTURA;FECHAMENTO;VARIACAO;MINIMO;MAXIMO;VOLUME
BPAN4;30/04/2021;17,78;18,38;2,91;17,25;18,49;176,45M
BPAN4;29/04/2021;18,2;17,86;-1,81;17,61;19,08;179,81M
BPAN4;28/04/2021;18,16;18,19;1,45;17,4;18,47;123,23M
BPAN4;27/04/2021;16,94;17,93;5,53;16,79;18,51;222,73M
BPAN4;26/04/2021;16,62;16,99;3,91;16,39;17,07;154,51M
BPAN4;23/04/2021;15,23;16,35;8,27;15,18;16,68;177,57M
BPAN4;22/04/2021;16,15;15,1;-5,62;14,87;16,28;141,51M
BPAN4;20/04/2021;15,97;16;0,19;15,4;16,45;104,30M
BPAN4;19/04/2021;15,56;15,97;2,9;15,35;16,91;194,15M
BPAN4;16/04/2021;13,65;15,52;13,69;13,58;15,9;157,62M
BPAN4;15/04/2021;13,8;13,65;-1,01;13,46;14,06;53,75M
BPAN4;14/04/2021;14,06;13,79;-0,07;13,71;14,15;56,33M
BPAN4;13/04/2021;13,93;13,8;-1,15;13,69;14,08;17,85M
BPAN4;12/04/2021;13,16;13,96;6,4;13,05;13,96;64,28M
BPAN4;09/04/2021;12,95;13,12;0,69;12,87;13,61;54,77M
BPAN4;08/04/2021;13,26;13,03;-0,91;12,8;13,44;67,59M
BPAN4;07/04/2021;12,91;13,15;2,25;12,64;13,53;122,08M
BPAN4;06/04/2021;12,99;12,86;14,5;12,12;13,29;233,37M
BPAN4;05/04/2021;10,91;11,23;4,07;10,7;11,23;46,28M
BPAN4;01/04/2021;10,97;10,79;-1,73;10,6;11,42;80,89M
EQTL3;30/04/2021;24,96;24,37;-3,09;23,71;26,19;412,79M
EQTL3;29/04/2021;24,54;25,15;1,69;24,32;25,17;258,09M
EQTL3;28/04/2021;24,23;24,73;2,25;24,14;24,88;187,97M
EQTL3;27/04/2021;24,08;24,19;-0,52;23,92;24,27;69,62M
EQTL3;26/04/2021;24,58;24,31;-0,99;23,96;24,73;107,84M
EQTL3;23/04/2021;24,53;24,55;0,96;24,23;24,76;122,33M
EQTL3;22/04/2021;24,14;24,32;0,56;24,14;24,87;152,20M
EQTL3;20/04/2021;23,67;24,19;1,01;23,62;24,46;93,58M
EQTL3;19/04/2021;24,17;23,94;-1,16;23,74;24,29;102,46M
EQTL3;16/04/2021;23,85;24,22;1,59;23,61;24,49;253,36M
EQTL3;15/04/2021;23,49;23,85;1,49;23,27;24,01;295,33M
EQTL3;14/04/2021;23,74;23,5;-0,86;23,16;23,85;228,22M
EQTL3;13/04/2021;23,52;23,7;-0,41;23,43;23,7;23,09M
EQTL3;12/04/2021;23,86;23,8;0;23,48;24,04;186,73M
EQTL3;09/04/2021;23,72;23,8;-0,85;23,59;24,02;98,84M
EQTL3;08/04/2021;24,17;24;-0,44;23,73;24,19;181,97M
EQTL3;07/04/2021;24,33;24,11;-1,9;23,8;24,7;159,72M
EQTL3;06/04/2021;24,48;24,57;0,4;24,19;24,7;106,80M
EQTL3;05/04/2021;24,33;24,48;0,84;24,14;24,61;184,21M
EQTL3;01/04/2021;24,16;24,27;0,77;23,92;24,41;250,41M
RAIL3;30/04/2021;20,45;20;-2,77;19,67;20,79;450,78M
RAIL3;29/04/2021;20,7;20,57;-0,82;20,36;20,76;92,20M
RAIL3;28/04/2021;20,44;20,74;1,57;20,33;20,77;104,16M
RAIL3;27/04/2021;20,69;20,42;-1,26;20,25;20,88;134,30M
RAIL3;26/04/2021;21,09;20,68;-1,8;20,54;21,4;121,18M
RAIL3;23/04/2021;20,89;21,06;1,25;20,82;21,35;239,62M
RAIL3;22/04/2021;20,82;20,8;0,14;20,46;21,09;165,15M
RAIL3;20/04/2021;20,72;20,77;-0,19;20,71;21,04;122,13M
RAIL3;19/04/2021;21,11;20,81;-0,95;20,74;21,29;222,55M
RAIL3;16/04/2021;20,61;21,01;1,99;20,56;21,24;308,97M
RAIL3;15/04/2021;20,25;20,6;1,23;20,22;20,76;224,37M
RAIL3;14/04/2021;20,16;20,35;2,01;20,03;20,51;192,87M
RAIL3;13/04/2021;20,4;19,95;-2,59;19,91;20,41;41,93M
RAIL3;12/04/2021;20,37;20,48;0,84;20,19;20,6;82,05M
RAIL3;09/04/2021;20,27;20,31;-0,68;20,16;20,45;71,49M
RAIL3;08/04/2021;20,4;20,45;0,99;20,26;20,75;181,61M
RAIL3;07/04/2021;20,93;20,25;-3,25;20,19;20,93;134,41M
RAIL3;06/04/2021;20,72;20,93;0,92;20,26;20,96;168,83M
RAIL3;05/04/2021;20,3;20,74;2,88;20,25;20,89;131,19M
RAIL3;01/04/2021;20,2;20,16;-0,44;20,01;20,37;78,21M
ITSA4;30/04/2021;10,15;10,06;-0,98;10,01;10,22;433,07M
ITSA4;29/04/2021;10,39;10,16;-2,31;10,13;10,43;312,89M
ITSA4;28/04/2021;10,16;10,4;3,69;10,15;10,4;557,98M
ITSA4;27/04/2021;10,21;10,03;-2,14;10,03;10,28;241,52M
ITSA4;26/04/2021;10,31;10,25;-0,48;10,15;10,4;194,03M
ITSA4;23/04/2021;10,21;10,3;0,98;10,18;10,35;279,11M
ITSA4;22/04/2021;10,21;10,2;0;10,09;10,24;281,74M
ITSA4;20/04/2021;10,16;10,2;0,2;10,1;10,23;212,67M
ITSA4;19/04/2021;10,23;10,18;-0,97;10,11;10,28;240,94M
ITSA4;16/04/2021;10,15;10,28;0,39;10,15;10,35;189,73M
ITSA4;15/04/2021;10,25;10,24;0;10,13;10,34;258,89M
ITSA4;14/04/2021;10,2;10,24;1,79;10,09;10,36;345,53M
ITSA4;13/04/2021;10,12;10,06;-1,27;10,02;10,12;103,76M
ITSA4;12/04/2021;10,06;10,19;1,69;10,05;10,19;183,62M
ITSA4;09/04/2021;10,03;10,02;-0,5;10;10,13;252,28M
ITSA4;08/04/2021;10,13;10,07;-0,3;10,02;10,13;245,30M
ITSA4;07/04/2021;10,1;10,1;-0,1;10,04;10,19;228,13M
ITSA4;06/04/2021;10,19;10,11;-0,98;10,09;10,26;187,44M
ITSA4;05/04/2021;10,16;10,21;1,29;10,08;10,22;187,51M
ITSA4;01/04/2021;10,32;10,08;-2,13;10,05;10,32;215,18M
ABEV3;30/04/2021;15,2;14,94;-2,1;14,91;15,3;443,71M
ABEV3;29/04/2021;15,21;15,26;0,33;15,21;15,46;217,49M
ABEV3;28/04/2021;15,3;15,21;-0,52;15,18;15,41;178,43M
ABEV3;27/04/2021;15,51;15,29;-1,92;15,21;15,6;274,47M
ABEV3;26/04/2021;15,6;15,59;-1,64;15,48;15,85;296,84M
ABEV3;23/04/2021;15,98;15,85;-0,31;15,82;16,05;357,11M
ABEV3;22/04/2021;15,89;15,9;1,79;15,66;16,11;360,11M
ABEV3;20/04/2021;15,67;15,62;-0,7;15,53;15,8;166,51M
ABEV3;19/04/2021;15,54;15,73;-0,44;15,51;16,07;316,31M
ABEV3;16/04/2021;15,79;15,8;-0,44;15,72;15,96;213,49M
ABEV3;15/04/2021;15,79;15,87;0,38;15,72;16,03;279,09M
ABEV3;14/04/2021;15,64;15,81;2,2;15,62;15,9;339,46M
ABEV3;13/04/2021;15,5;15,47;-0,26;15,37;15,6;61,64M
ABEV3;12/04/2021;15,5;15,51;0,98;15,36;15,6;158,02M
ABEV3;09/04/2021;15,22;15,36;-0,58;15,21;15,64;257,96M
ABEV3;08/04/2021;15,2;15,45;1,51;15,14;15,67;296,19M
ABEV3;07/04/2021;15,23;15,22;-1,1;15,09;15,43;179,20M
ABEV3;06/04/2021;15,27;15,39;0,79;15,16;15,48;192,94M
ABEV3;05/04/2021;15,13;15,27;1,8;15,1;15,39;319,70M
ABEV3;01/04/2021;15,39;15;-1,9;14,99;15,4;238,32M
B3SA3;30/04/2021;52,36;51,5;-2;51,4;52,77;1,03B
B3SA3;30/04/2021;52,36;51,5;-2;51,4;52,77;1,03B
B3SA3;29/04/2021;53,7;52,55;-1,96;52,35;53,88;519,00M
B3SA3;29/04/2021;53,7;52,55;-1,96;52,35;53,88;519,00M
B3SA3;28/04/2021;53,08;53,6;1,23;52,77;53,73;542,57M
