id_setorial;empresa_listagem;codigo_listagem;segmento_listagem;setor_economico;subsetor;segmento
1;3R PETROLEUM;RRRP;NM             ;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição
2;COSAN       ;CSAN;NM             ;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição
3;DOMMO;DMMO;;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição
4;ENAUTA PART;ENAT;NM             ;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição
5;PET MANGUINH;RPMG;;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição
6;PETROBRAS   ;PETR;N2;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição
7;PETROBRAS BR;BRDT;NM             ;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição
8;PETRORIO;PRIO;NM             ;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição
9;ULTRAPAR    ;UGPA;NM             ;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição
10;LUPATECH    ;LUPA;NM             ;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Equipamentos e Serviços
11;OCEANPACT;OPCT;NM             ;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Equipamentos e Serviços
12;OSX BRASIL  ;OSXB;NM             ;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Equipamentos e Serviços
13;BRADESPAR   ;BRAP;N1             ;Materiais Básicos;Mineração;Minerais Metálicos
14;CSNMINERACAO;CMIN;N2            ;Materiais Básicos;Mineração;Minerais Metálicos
15;LITEL       ;LTEL;MB             ;Materiais Básicos;Mineração;Minerais Metálicos
16;LITELA;LTLA;MB             ;Materiais Básicos;Mineração;Minerais Metálicos
17;MMX MINER   ;MMXM;NM             ;Materiais Básicos;Mineração;Minerais Metálicos
18;VALE        ;VALE;NM             ;Materiais Básicos;Mineração;Minerais Metálicos
19;FERBASA     ;FESA;N1             ;Materiais Básicos;Siderurgia e Metalurgia;Siderurgia
20;GERDAU      ;GGBR;N1             ;Materiais Básicos;Siderurgia e Metalurgia;Siderurgia
21;GERDAU MET  ;GOAU;N1             ;Materiais Básicos;Siderurgia e Metalurgia;Siderurgia
22;SID NACIONAL;CSNA;;Materiais Básicos;Siderurgia e Metalurgia;Siderurgia
23;USIMINAS    ;USIM;N1             ;Materiais Básicos;Siderurgia e Metalurgia;Siderurgia
24;MANGELS INDL;MGEL;;Materiais Básicos;Siderurgia e Metalurgia;Artefatos de Ferro e Aço
25;PANATLANTICA;PATI;;Materiais Básicos;Siderurgia e Metalurgia;Artefatos de Ferro e Aço
26;TEKNO       ;TKNO;;Materiais Básicos;Siderurgia e Metalurgia;Artefatos de Ferro e Aço
27;PARANAPANEMA;PMAM;NM             ;Materiais Básicos;Siderurgia e Metalurgia;Artefatos de Cobre
28;BRASKEM     ;BRKM;N1             ;Materiais Básicos;Químicos;Petroquímicos
29;GPC PART    ;GPCP;;Materiais Básicos;Químicos;Petroquímicos
30;FER HERINGER;FHER;NM             ;Materiais Básicos;Químicos;Fertilizantes e Defensivos
31;NUTRIPLANT  ;NUTR;MA             ;Materiais Básicos;Químicos;Fertilizantes e Defensivos
32;CRISTAL;CRPG;;Materiais Básicos;Químicos;Químicos Diversos
33;UNIPAR      ;UNIP;;Materiais Básicos;Químicos;Químicos Diversos
34;DURATEX     ;DTEX;NM             ;Materiais Básicos;Madeira e Papel;Madeira
35;EUCATEX     ;EUCA;N1             ;Materiais Básicos;Madeira e Papel;Madeira
36;IRANI ;RANI;;Materiais Básicos;Madeira e Papel;Papel e Celulose
37;KLABIN S/A  ;KLBN;N2;Materiais Básicos;Madeira e Papel;Papel e Celulose
38;MELHOR SP   ;MSPA;;Materiais Básicos;Madeira e Papel;Papel e Celulose
39;SUZANO HOLD ;NEMO;;Materiais Básicos;Madeira e Papel;Papel e Celulose
40;SUZANO S.A.;SUZB;NM             ;Materiais Básicos;Madeira e Papel;Papel e Celulose
41;METAL IGUACU;MTIG;;Materiais Básicos;Embalagens;Embalagens
42;SANSUY      ;SNSY;;Materiais Básicos;Materiais Diversos;Materiais Diversos
43;ETERNIT     ;ETER;NM             ;Bens Industriais;Construção e Engenharia;Produtos para Construção
44;HAGA S/A    ;HAGA;;Bens Industriais;Construção e Engenharia;Produtos para Construção
45;PORTOBELLO  ;PTBL;NM             ;Bens Industriais;Construção e Engenharia;Produtos para Construção
46;AZEVEDO     ;AZEV;;Bens Industriais;Construção e Engenharia;Construção Pesada
