"";"id_url";"url";"url2";"data";"titulo";"empresa1";"empresa2";"empresa3";"empresa4";"empresa5";"ticker1";"ticker2";"ticker3";"ticker4";"ticker5";"peso1";"peso2";"peso3";"peso4";"peso5";"data_temp";"data_hora";"dia";"mes";"ano";"data_completa";"fonte_noticia";"id_noticia";"url_noticia";"data_noticia";"id_carteira";"data_carteira";"validade_carteira";"corretora"
"1";1;"https://www.moneytimes.com.br/ativa-escanteia-volatilidade-e-traz-quatro-acoes-para-carteira-semanal/";"""https://www.moneytimes.com.br/ativa-escanteia-volatilidade-e-traz-quatro-acoes-para-carteira-semanal/""";"26/04/2021 - 7:59";"Ativa escanteia volatilidade e traz quatro ações para carteira semanal";"Banco Pan";"Via Varejo";"Vale";"Priner";"TIM";"BPAN4";"VVAR3";"VALE3";"PRIN3";"TIMS3";"20";"20";"20";"20";"20";"26/04/2021";2021-04-26;"26";"04";"2021";"26-04-2021";"Money Times";1;"https://www.moneytimes.com.br/ativa-escanteia-volatilidade-e-traz-quatro-acoes-para-carteira-semanal/";2021-04-26;1;2021-04-26;2021-05-01;"ATIVA INVESTIMENTOS S/A CTCV"
"2";2;"https://www.moneytimes.com.br/btg-coloca-carteira-semanal-nos-trilhos-com-troca-de-acao/";"""https://www.moneytimes.com.br/btg-coloca-carteira-semanal-nos-trilhos-com-troca-de-acao/""";"19/04/2021 - 7:53";"BTG coloca carteira semanal “nos trilhos”, com troca de ação";"Equatorial";"Rumo";"Brasil Agro";"Weg";"Vale";"EQTL3";"RAIL3";"AGRO3";"WEGE3";"VALE3";"20";"20";"20";"20";"20";"19/04/2021";2021-04-19;"19";"04";"2021";"19-04-2021";"Money Times";2;"https://www.moneytimes.com.br/btg-coloca-carteira-semanal-nos-trilhos-com-troca-de-acao/";2021-04-19;2;2021-04-19;2021-04-24;"BTG PACTUAL CTVM S/A"
"3";3;"https://www.moneytimes.com.br/rumo-e-a-mais-nova-aposta-da-terra-para-a-carteira-semanal-veja-o-portfolio/";"""https://www.moneytimes.com.br/rumo-e-a-mais-nova-aposta-da-terra-para-a-carteira-semanal-veja-o-portfolio/""";"23/04/2021 - 13:26";"Rumo é a mais nova aposta da Terra para a carteira semanal; veja o portfólio";"Rumo";"B3";"Itaúsa";"Via Varejo";"Klabin";"RAIL3";"B3SA3";"ITSA4";"VVAR3";"KLBN11";"20";"20";"20";"20";"20";"23/04/2021";2021-04-23;"23";"04";"2021";"23-04-2021";"Money Times";3;"https://www.moneytimes.com.br/rumo-e-a-mais-nova-aposta-da-terra-para-a-carteira-semanal-veja-o-portfolio/";2021-04-23;3;2021-04-23;2021-04-28;"TERRA INVESTIMENTOS DTVM LTDA"
"4";4;"https://www.moneytimes.com.br/xp-mantem-apenas-klabin-na-carteira-semanal-confira-as-novas-indicacoes/";"""https://www.moneytimes.com.br/xp-mantem-apenas-klabin-na-carteira-semanal-confira-as-novas-indicacoes/""";"18/04/2021 - 14:21";"XP mantém apenas Klabin na carteira semanal; confira as novas indicações";"Itaúsa";"Rumo";"Klabin";"Randon";"WEG";"ITSA4";"RAIL3";"KLBN11";"RAPT4";"WEGE3";"20";"20";"20";"20";"20";"18/04/2021";2021-04-18;"18";"04";"2021";"18-04-2021";"Money Times";4;"https://www.moneytimes.com.br/xp-mantem-apenas-klabin-na-carteira-semanal-confira-as-novas-indicacoes/";2021-04-18;4;2021-04-18;2021-04-23;"XP INVESTIMENTOS CCTVM S/A"
"5";5;"https://www.moneytimes.com.br/elite-escala-transmissao-paulista-e-weg-para-a-carteira-semanal-banco-inter-e-gerdau-deixam-portfolio/";"""https://www.moneytimes.com.br/elite-escala-transmissao-paulista-e-weg-para-a-carteira-semanal-banco-inter-e-gerdau-deixam-portfolio/""";"18/04/2021 - 17:17";"Elite escala Transmissão Paulista e WEG para a carteira semanal; Banco Inter e Gerdau deixam portfólio";"Ambev";"Transmissão Paulista";"BTG Pactual";"WEG";"Klabin";"ABEV3";"TRPL4";"BPAC11";"WEGE3";"KLBN11";"20";"20";"20";"20";"20";"18/04/2021";2021-04-18;"18";"04";"2021";"18-04-2021";"Money Times";5;"https://www.moneytimes.com.br/elite-escala-transmissao-paulista-e-weg-para-a-carteira-semanal-banco-inter-e-gerdau-deixam-portfolio/";2021-04-18;5;2021-04-18;2021-04-23;"ELITE CCVM LTDA"
"6";6;"https://www.moneytimes.com.br/necton-chama-trio-de-acoes-para-encarar-semana-apos-ultrapassar-ibovespa/";"""https://www.moneytimes.com.br/necton-chama-trio-de-acoes-para-encarar-semana-apos-ultrapassar-ibovespa/""";"11/04/2021 - 19:57";"MyCap chama trio de ações para encarar semana, após ultrapassar Ibovespa";"B3";"PetroRio";"Even";"Alpargatas";"BR Malls";"B3SA3";"PRIO3";"EVEN3";"ALPA4";"BRML3";"20";"20";"20";"20";"20";"11/04/2021";2021-04-11;"11";"04";"2021";"11-04-2021";"Money Times";6;"https://www.moneytimes.com.br/necton-chama-trio-de-acoes-para-encarar-semana-apos-ultrapassar-ibovespa/";2021-04-11;6;2021-04-11;2021-04-16;"ICAP DO BRASIL CTVM LTDA"
"7";7;"https://www.moneytimes.com.br/btg-adiciona-uma-dose-de-agro-e-maquinario-em-carteira-semanal/";"""https://www.moneytimes.com.br/btg-adiciona-uma-dose-de-agro-e-maquinario-em-carteira-semanal/""";"11/04/2021 - 16:40";"BTG adiciona uma dose de agro e maquinário em carteira semanal";"Equatorial";"Cosan";"Brasil Agro";"Weg";"Vale";"EQTL3";"CSAN3";"AGRO3";"WEGE3";"VALE3";"20";"20";"20";"20";"20";"11/04/2021";2021-04-11;"11";"04";"2021";"11-04-2021";"Money Times";7;"https://www.moneytimes.com.br/btg-adiciona-uma-dose-de-agro-e-maquinario-em-carteira-semanal/";2021-04-11;7;2021-04-11;2021-04-16;"BTG PACTUAL CTVM S/A"
"8";8;"https://www.moneytimes.com.br/ativa-troca-papel-farmaceutico-por-acao-de-aco-em-carteira-semanal/";"""https://www.moneytimes.com.br/ativa-troca-papel-farmaceutico-por-acao-de-aco-em-carteira-semanal/""";"11/04/2021 - 18:08";"Ativa troca papel farmacêutico por ação de aço em carteira semanal";"BRF";"Hidrovias do Brasil";"Usiminas";"PetroRio";"BB Seguridade";"BRFS3";"HBSA3";"USIM5";"PRIO3";"BBSE3";"20";"20";"20";"20";"20";"11/04/2021";2021-04-11;"11";"04";"2021";"11-04-2021";"Money Times";8;"https://www.moneytimes.com.br/ativa-troca-papel-farmaceutico-por-acao-de-aco-em-carteira-semanal/";2021-04-11;8;2021-04-11;2021-04-16;"ATIVA INVESTIMENTOS S/A CTCV"
"9";9;"https://www.moneytimes.com.br/elite-escala-tres-acoes-em-carteira-semanal-para-continuar-acima-do-ibovespa/";"""https://www.moneytimes.com.br/elite-escala-tres-acoes-em-carteira-semanal-para-continuar-acima-do-ibovespa/""";"11/04/2021 - 15:38";"Elite escala três ações em carteira semanal para continuar acima do Ibovespa";"Ambev";"Banco Inter";"BTG Pactual";"Gerdau";"Klabin";"ABEV3";"BIDI11";"BPAC11";"GGBR4";"KLBN11";"20";"20";"20";"20";"20";"11/04/2021";2021-04-11;"11";"04";"2021";"11-04-2021";"Money Times";9;"https://www.moneytimes.com.br/elite-escala-tres-acoes-em-carteira-semanal-para-continuar-acima-do-ibovespa/";2021-04-11;9;2021-04-11;2021-04-16;"ELITE CCVM LTDA"
"10";10;"https://www.moneytimes.com.br/terra-troca-totvs-por-klabin-apos-carteira-semanal-render-quase-3/";"""https://www.moneytimes.com.br/terra-troca-totvs-por-klabin-apos-carteira-semanal-render-quase-3/""";"09/04/2021 - 13:00";"Terra troca Totvs por Klabin, após carteira semanal render quase 3%";"B3";"BB Seguridade";"Itaúsa";"Klabin";"Via Varejo";"B3SA3";"BBSE3";"ITSA4";"KLBN11";"VVAR3";"20";"20";"20";"20";"20";"09/04/2021";2021-04-09;"09";"04";"2021";"09-04-2021";"Money Times";10;"https://www.moneytimes.com.br/terra-troca-totvs-por-klabin-apos-carteira-semanal-render-quase-3/";2021-04-09;10;2021-04-09;2021-04-14;"TERRA INVESTIMENTOS DTVM LTDA"
